txn_date,merchant,value,category
26/03/2026,BOOKER WHOLESALE,1040.69,Soft Drinks
4/1/2026,J J Food,159.15,Supplies
8-3-2026,Sky,715.44,Soft Drinks
2/5/2026,diageo ltd,184.42,Food
2026-03-02,Local Butcher,1440.31,
28/03/2026,BRITISH GAS,£1024.28,Supplies
3/15/2026,J J Food,410.83,Soft Drinks
2026-01-13,Brakes,328.26,
15/03/2026,cleaning supplies co,382.52,Supplies
11-2-2026,Brakes,811.71,Soft Drinks
1/25/2026,BT PLC,654.07,Supplies
27-2-2026,Heineken UK Ltd,1326.24,Alcohol
2026-04-08,local bakery,£1449.97
1-3-2026,coca-cola europacific,£961.26,Utilities
3/28/2026,Sky,£1098.43,Supplies
3-2-2026,Local Bakery,494.20,Alcohol
7-4-2026,Brakes,£1500.49,Food
4/9/2026,BRITISH GAS,514.00,
4/8/2026,BOOKER,-605.53,Soft Drinks
2/10/2026,BT Business,729.54,Food
1/4/2026,DIAGEO,832.23,
15/03/2026,BOOKER,1295.01,Utilities
4/1/2026,Booker Ltd,1144.48,
3/25/2026,coca cola europacific,1499.31,
16/01/2026,BRITISH GAS,1472.31,Utilities
3-1-2026,bakery co,1371.48,Food
2/28/2026,Bakery Co,150,48,Supplies
20-2-2026,Booker Wholesale,1307.09,
2026-01-22,BRITISH GAS,1051.75,
8-3-2026,diageo limited,382.92,
9-4-2026,Local Butcher,1499.11,Alcohol
4/11/2026,DIAGEO LIMITED,£548,28,Utilities
13-4-2026,The Local Butcher,1163.46,Alcohol
25-3-2026,E.ON,569.81,Soft Drinks
2026-01-14,British Gas,1123.63,
3/16/2026,BritishGas,148.98,Alcohol
21/02/2026,Amazon,1126.28,Utilities
25-3-2026,Diageo,909.97,
16/02/2026,SKY,1172.52,
15-4-2026,BOOKER,1238.72,
09/01/2026,Diageo Ltd,£767.33,Utilities
09/01/2026,Amazon Business,£982,04,Utilities
4-1-2026,The Local Butcher,855.74,
3/29/2026,Local Butcher,1215.63,Utilities
4/28/2026,AMAZON UK,894.58,Supplies
2026-04-08,Sky,£86.09,Food
2026-01-01,Booker Ltd,£918,18,Utilities
22-3-2026,Heineken UK Ltd,169.23,Utilities
20/01/2026,Scottish Water,1385.58,
26-4-2026,BRITISHGAS,1215.73,Food
02/02/2026,JJ FOOD SERVICE,£1128.97,
1/25/2026,BT PLC,81.45,
2026-04-28,booker wholesale,690.38
26/03/2026,JJ FOOD SERVICE,393.97,Food
1/27/2026,Heineken UK Ltd,-1051.21,Alcohol
3/27/2026,HEINEKEN,£719.20,
1/5/2026,Sky Business,£890.90,Supplies
5-1-2026,CleanCo,733.43,Supplies
29-1-2026,Diageo,53,15,Soft Drinks
2/9/2026,Local Butcher,972.32,Alcohol
2026-02-06,CleanCo,701.86,Food
2026-03-20,J J Food,£173.77,Alcohol
2026-03-29,SCOTTISH WATER,782,16,Soft Drinks
26/04/2026,BRITISHGAS,1398.12,Food
20-3-2026,Coca Cola Europacific,89.88,Supplies
21/01/2026,diageo,496.91,
13/01/2026,Booker Wholesale,96.46,
3-4-2026,Sky Business,1057.60,Utilities
19/04/2026,Sky,679.20,Utilities
2026-04-03,The Local Butcher,1354.21,
4/12/2026,BT PLC,1102.75,Alcohol
16-1-2026,Amazon,746,36,
21-2-2026,sky,492.72,Food
2026-04-09,Booker Ltd,955.50
2026-02-28,Cleaning Supplies Co,321.99,Food
03/04/2026,AMAZON UK,406.91,Alcohol
2026-03-18,The Local Butcher,-£1234.22,Supplies
2026-03-03,SCOTTISH WATER,1050,59,
19/03/2026,Scottish Water,1276.31,
23-2-2026,diageo limited,1254,78
25/02/2026,Coca Cola Europacific,561.07
01/03/2026,booker,£595.16,Utilities
2026-03-09,BritishGas,769.43,
25/03/2026,BT PLC,1010.42,Utilities
20/01/2026,JJ Food Service,672.20,
4/16/2026,Sky,824.20,Food
3/8/2026,COCA-COLA EUROPACIFIC,837.89,
1/3/2026,BOOKER,1024.88,Food
2/22/2026,E.ON,679.13,Supplies
1/8/2026,E.ON,472.79,Food
27-2-2026,Brakes Catering,242,89,Utilities
2026-01-08,HEINEKEN UK LTD,61.31,
2026-04-13,Heineken UK,-277.09,Soft Drinks
2026-02-03,Local Bakery,£953.64,Utilities
2026-04-23,Heineken UK,491.94,
15/03/2026,Sky,1062.54,Supplies
9-2-2026,Coca Cola,1286.21,
3-4-2026,BOOKER,1217.21
3-3-2026,Coca Cola Europacific,£1264.55,
18/04/2026,Booker Ltd,657.50,Soft Drinks
25-1-2026,EON Energy,1482,91,Alcohol
2/27/2026,HEINEKEN,582.08,Food
2026-01-22,Bakery Co,1355.30,Supplies
28/02/2026,diageo limited,-238.68,Alcohol
4/26/2026,CLEANCO,-1311.77,Soft Drinks
2026-03-29,Diageo Ltd,625.62,Food
14-4-2026,BRITISH GAS,731.46,Alcohol
2026-03-04,CleanCo,-466.06,
14/03/2026,BRITISH GAS,-1129.06,
4/22/2026,AMAZON UK,371.54,Supplies
2026-02-05,BRITISH GAS,496.38,Soft Drinks
10/03/2026,BritishGas,1117.86,
2026-03-20,BT Business,219.66,
13-4-2026,Local Bakery,£1197.92,Utilities
7-1-2026,Coca Cola,606,62,Food
25/01/2026,BritishGas,1190.97,Utilities
4/20/2026,Heineken UK,1035.48,Alcohol
2026-04-13,Coca Cola,991.34,
2026-03-29,Cleaning Supplies Co,204.77,
1/12/2026,Scottish Water,£497.16,Alcohol
4/14/2026,British Gas,774.77,Alcohol
12/01/2026,Coca Cola,267.17,Supplies
24-2-2026,BT PLC,371.36,Food
5-3-2026,EON Energy,1532.07,Soft Drinks
3/28/2026,E.ON,843.66,Food
20/03/2026,Sky,422.18,Supplies
1/29/2026,BOOKER,264.38,Alcohol
3/8/2026,Diageo Ltd,£1270.74,Supplies
28-2-2026,Brakes Catering,92,84,Alcohol
2/3/2026,BT BUSINESS,107.91,Alcohol
02/02/2026,AMAZON UK,1411.91,
1/26/2026,Local Butcher,£351,59,
16/01/2026,eon energy,493.68,Utilities
28-3-2026,British Gas,591.84,Utilities
11/03/2026,BT Business,1403.64,
2026-03-10,JJ Food Service,350.29,
2/27/2026,booker,353.72,
07/04/2026,e.on,653.67,
3/13/2026,EON,1460.92,Soft Drinks
2026-03-11,BOOKER,£941,91,Utilities
2026-02-08,Coca Cola Europacific,1173,51,
2026-04-01,Amazon,151.12,Supplies
17-2-2026,Bakery Co,748.48,
1/9/2026,Heineken UK Ltd,-171.43,Food
27/04/2026,jj food service,£961.53,Soft Drinks
8-3-2026,Brakes,1232.28,Utilities
1/31/2026,Brakes,£430.18,
19/01/2026,Diageo,789.13,Utilities
2026-01-31,Amazon Business,779.04,Food
4/17/2026,Local Bakery,130.23,Soft Drinks
07/02/2026,coca cola europacific,1439.29,
20/02/2026,local bakery,725.10,Soft Drinks
2026-02-21,Coca Cola,1322.28,
10/04/2026,heineken,1184.10,
1/4/2026,Scottish Water,1262.49,
02/01/2026,The Local Butcher,1305.38,
24-1-2026,Heineken UK Ltd,£1434.83,Soft Drinks
2026-01-19,Sky Business,728.77,Soft Drinks
3/26/2026,Local Bakery,1273.54,Soft Drinks
2026-03-25,Scottish Water,£643.19,Soft Drinks
2/18/2026,Heineken UK,-£1524.84,
09/02/2026,local bakery,1219.55,Alcohol
2026-04-02,BritishGas,£1103.66,
25-2-2026,HEINEKEN,719.60,Food
16-3-2026,Amazon,£567.99,Soft Drinks
2-3-2026,The Local Butcher,899.36,Alcohol
28/01/2026,The Local Butcher,841.46,
06/01/2026,BT Business,114.29,Alcohol
2026-04-06,Brakes,881.53,
27-2-2026,SCOTTISH WATER,1225.05,Food
28/03/2026,EON Energy,£1425.70,
25-3-2026,Sky Business,1224.81,
1/16/2026,Heineken UK,476.67,
16/01/2026,JJ Food Service,892.16,Supplies
28-3-2026,CleanCo,467.08,
24-3-2026,BRAKES UK,£898.44,Food
1/30/2026,Heineken UK,429.97
4/18/2026,Amazon,1188.70,Supplies
2026-01-06,diageo ltd,486.26,
10-1-2026,EON Energy,£230.86,
2/5/2026,CleanCo,302.10,
24/03/2026,Booker Ltd,£448.39,Soft Drinks
3/9/2026,CleanCo,£699.35,Utilities
2026-04-11,Amazon,467.97,Alcohol
1/2/2026,coca-cola europacific,338,00,
2026-02-21,HEINEKEN UK,952.73,Utilities
2026-04-07,Diageo,648.24,Alcohol
20-2-2026,Sky,269.46
2026-03-09,Bakery Co,114.62
2026-02-23,COCA-COLA EUROPACIFIC,£832.24,Soft Drinks
2026-03-05,E.ON,1508.41,Utilities
1/3/2026,diageo ltd,-£638,36,
4/8/2026,Local Butcher,£837.05,
24/04/2026,Booker Wholesale,208.08
2/7/2026,Booker Ltd,174.00
3-3-2026,COCA-COLA EUROPACIFIC,647,12,Soft Drinks
18-3-2026,Heineken UK,1456.99,
4/23/2026,bakery co,108,55,Alcohol
4-1-2026,CleanCo,1523.25
12-3-2026,AMAZON UK,1442.81,Soft Drinks
3/19/2026,Brakes,1133.83,Alcohol
19/04/2026,AMAZON UK,83,74,
1/23/2026,Coca Cola Europacific,73,59,
27/03/2026,Heineken UK Ltd,£843.67,
14/02/2026,BT BUSINESS,833,34,Alcohol
3/25/2026,booker,259,61
29-1-2026,SKY,1107.82,
2026-01-25,HEINEKEN,£1360.30,
2026-04-09,BT Business,794,04,Soft Drinks
19-2-2026,CleanCo,370.58,Supplies
2026-02-18,BRAKES UK,448.55,Utilities
2026-03-08,The Local Butcher,542.88,Utilities
4/22/2026,CleanCo,1486.89,
2026-04-09,BT,£889.71,Utilities
24-1-2026,JJ Food Service,£508.96,
3/28/2026,sky,1176.22,Food
1/1/2026,jj food service,1476.71,Utilities
2026-03-02,Sky Business,-£361.74,Alcohol
3/9/2026,Booker Wholesale,£59.20,Utilities
2026-04-21,BT,251,63
16-1-2026,EON Energy,£711.11,Supplies
18/04/2026,The Local Butcher,770.22,Alcohol
1/6/2026,BRAKES UK,1544.54,Soft Drinks
2026-03-22,Diageo Ltd,1409.67,
2026-01-11,CLEANING SUPPLIES CO,-352.14,Utilities
2026-02-14,j j food,735.23,Food
1/25/2026,CleanCo,305.29,
4/1/2026,J J Food,418.14,
02/04/2026,BT Business,£176.01,Food
2/27/2026,BRAKES UK,161.02,Soft Drinks
28-4-2026,HEINEKEN,£531.33,Supplies
2/21/2026,scottish water,£440.83,Utilities
2026-04-10,BritishGas,840,99,
1/5/2026,BOOKER LTD,134,67,
30-3-2026,EON,924.43,Supplies
27-3-2026,HEINEKEN,1262.19,Alcohol
29-4-2026,Sky Business,75.33,Soft Drinks
11-4-2026,HEINEKEN,862.23,Utilities
2026-01-05,Diageo,954.74,Alcohol
2026-04-26,Brakes,1417.82,Utilities
2026-02-09,Local Butcher,813.84,Food
26/01/2026,BRITISH GAS,849,74,Alcohol
2026-02-08,British Gas,-862,45,Supplies
09/01/2026,Coca Cola,£1105.68,Food
27/04/2026,HEINEKEN,£359,24,
09/02/2026,E.ON,958.86,Alcohol
4/16/2026,BT,-858.34,Supplies
10/04/2026,EON Energy,£1084.44,
16-3-2026,E.ON,125.82,Utilities
2-1-2026,BT PLC,108.55,Food
2026-01-17,Heineken UK,343.94,Soft Drinks
2026-01-07,Amazon,897.32,Utilities
14/01/2026,British Gas,1222.98,
2/5/2026,Sky Business,£205,52,Food
2026-04-04,Sky Business,759.60,Soft Drinks
2026-01-27,Amazon Business,752.89,Soft Drinks
2026-01-04,Local Bakery,£111,02,Utilities
06/03/2026,COCA-COLA EUROPACIFIC,275.84,Utilities
20-3-2026,JJ FOOD SERVICE,131.88,Soft Drinks
2026-03-06,Scottish Water,£884.17,Alcohol
04/02/2026,Cleaning Supplies Co,1019.17,Utilities
1-4-2026,JJ Food Service,-501.19,Alcohol
2/8/2026,COCA-COLA EUROPACIFIC,1546,45,Alcohol
22/04/2026,brakes,-171.30,Food
2026-04-17,JJ Food Service,-£786.28,Alcohol
12-3-2026,HEINEKEN,£100.88,
2026-04-02,DIAGEO LIMITED,1014.78
11-2-2026,E.ON,£1393.29,Utilities
2/24/2026,Booker Wholesale,435.48,Food
2/23/2026,COCA-COLA EUROPACIFIC,929.87,
18-1-2026,JJ FOOD SERVICE,1329.00,Soft Drinks
15/03/2026,Local Bakery,350.66,Alcohol
2/17/2026,BT PLC,249.66,Utilities
24-4-2026,Coca Cola,579.12,Alcohol
3/4/2026,BritishGas,1474,86,Supplies
2026-04-10,British Gas,448.09,Utilities
19-4-2026,local bakery,1365.63,Alcohol
1/20/2026,BRAKES UK,926.86,
29-1-2026,Sky,1174.04,
2026-01-15,Bakery Co,829.54,
31/01/2026,Amazon Business,436,08,Supplies
23/03/2026,Booker Ltd,1025.13,Soft Drinks
26-2-2026,BritishGas,1031.38,Soft Drinks
28/03/2026,Amazon Business,86.56,
06/01/2026,SCOTTISH WATER,£560.82,Soft Drinks
30-3-2026,Heineken UK Ltd,188.96,
30/01/2026,heineken,945.87,Soft Drinks
30/03/2026,Cleaning Supplies Co,835.95,Food
3/6/2026,JJ Food Service,766.59,
2/10/2026,JJ Food Service,271.46,Alcohol
2026-01-30,Amazon Business,132.26,Utilities
1/17/2026,SCOTTISH WATER,101.22,
3/3/2026,CleanCo,£1465.22,Food
29-1-2026,BT,116.64,Food
2026-04-23,Booker Wholesale,189.89,
13-2-2026,EON,1418.48,Soft Drinks
2026-02-23,Brakes,133.84,Supplies
20-4-2026,BritishGas,1094.35,Food
3/10/2026,Sky Business,96.20,Soft Drinks
2026-02-15,BT Business,255,38,Alcohol
3-2-2026,BOOKER,1416.40,Utilities
3/1/2026,BOOKER,£821.62,Soft Drinks
2026-04-20,British Gas,501.58,Food
1/22/2026,BRAKES UK,152.56,
2026-03-12,BRITISHGAS,223.67,
1/9/2026,BT,£575.57,Alcohol
15-2-2026,local butcher,-164.85,
14-3-2026,BRITISH GAS,289.69,
2026-01-24,BOOKER WHOLESALE,1316.24,
3-4-2026,Local Butcher,736.05,Alcohol
2026-04-05,AMAZON UK,555.88
28-2-2026,E.ON,55.78,
2026-03-05,E.ON,525.05,Alcohol
2/5/2026,Local Butcher,694.69,
3/4/2026,COCA-COLA EUROPACIFIC,£616.93,Food
22-1-2026,Booker Ltd,878,94,
08/01/2026,Local Bakery,105.46,Utilities
24/01/2026,BOOKER,1257.41
18/01/2026,Sky Business,774.51,Food
21-1-2026,Bakery Co,68.33,Food
2026-02-23,BRITISH GAS,627.42,Utilities
18/01/2026,Brakes Catering,499.42,
2026-02-14,JJ Food Service,1503.95
8-1-2026,AMAZON UK,442.33,
26/04/2026,The Local Butcher,666.49,
2026-01-09,the local butcher,-1128.62,
2026-03-30,BT PLC,1523.53,Utilities
25/01/2026,BOOKER,524.72,Utilities
1/8/2026,BOOKER,-£1180,13,Utilities
4/1/2026,E.ON,1380.21,
2026-02-19,Sky Business,861.53,
29/03/2026,Booker Ltd,-362.78,Food
14-3-2026,BRITISH GAS,325.36,
19-2-2026,J J Food,438.85,Utilities
5-4-2026,Cleaning Supplies Co,1047.19,Food
11/03/2026,JJ Food Service,1307.60,Alcohol
4/6/2026,diageo ltd,£1141.86,Soft Drinks
28-1-2026,JJ Food Service,1017.77,
21/03/2026,CleanCo,£1028.19,Soft Drinks
2026-02-03,AMAZON UK,£986.28,Alcohol
2026-02-06,Coca Cola,1346.04,
13/02/2026,AMAZON UK,£737.56,
7-1-2026,BT PLC,1329.05,
12/03/2026,cleanco,670.92,Supplies
1-1-2026,Sky Business,474.20,
4/15/2026,AMAZON UK,1196.61
27-1-2026,Sky,1401.34,Utilities
3/6/2026,BT Business,730.63,
04/03/2026,E.ON,1094.69,Utilities
3/2/2026,JJ Food Service,£415.75,Food
2026-03-28,JJ FOOD SERVICE,-£559.27,
16/01/2026,BOOKER,£71.23,Utilities
10/02/2026,EON,£154.25
23/04/2026,EON,153.32,Utilities
2026-04-22,BRITISH GAS,413.74,Supplies
28/03/2026,EON Energy,802.56,
4/9/2026,bt business,£94.72,Utilities
26/04/2026,BRITISH GAS,£156,58,
9-3-2026,Scottish Water,345.83,
2026-02-02,COCA-COLA EUROPACIFIC,£1098.38,Soft Drinks
21-2-2026,J J Food,737,96,Soft Drinks
04/04/2026,BOOKER,935.41,
12-3-2026,Heineken UK,£795.43,
3/6/2026,Coca Cola,£1308.63,Utilities
3/30/2026,British Gas,1328.98,Alcohol
02/01/2026,BT PLC,794,64,Utilities
1/12/2026,British Gas,£1512.37,
22/02/2026,BT Business,630.19,
25-3-2026,J J FOOD,1087.40,Soft Drinks
6-2-2026,Heineken UK,472.61,Alcohol
11/01/2026,bt,£631.61,Utilities
4/18/2026,BRAKES UK,1018.70,Food
3/4/2026,J J Food,1301.00,
8-1-2026,AMAZON UK,1161.47,Supplies
13-3-2026,BT PLC,380.00
2026-03-14,Cleaning Supplies Co,706.82,
18/04/2026,BRAKES UK,911.18,
07/02/2026,BT PLC,£686.41,Supplies
1/11/2026,LOCAL BUTCHER,1123.52,
2026-01-10,E.ON,£341,41,Soft Drinks
2026-01-31,JJ Food Service,543.31,Soft Drinks
10/01/2026,Diageo Ltd,1002.31,
04/01/2026,J J Food,577.13,
4-1-2026,E.ON,437,99,Utilities
1/10/2026,Diageo,607.91,Food
2/11/2026,AMAZON UK,1459.93,
4-2-2026,BritishGas,1171,62,Supplies
4/21/2026,JJ FOOD SERVICE,130.37,Alcohol
2026-03-15,BOOKER,1531.55,Soft Drinks
04/02/2026,British Gas,794.80,Soft Drinks
09/04/2026,JJ Food Service,£237.15,Supplies
2026-01-29,Sky,835.05
4/6/2026,JJ FOOD SERVICE,£565.79,
2026-01-05,the local butcher,771,97,
1/30/2026,EON Energy,802.63,Soft Drinks
23-4-2026,J J Food,1499.42,
2026-02-17,Bakery Co,£82.94,Utilities
08/03/2026,BRITISH GAS,-809.53,Utilities
12/02/2026,The Local Butcher,64.64,
11-2-2026,Local Bakery,1383.20,Alcohol
10/01/2026,EON Energy,1361.94,Supplies
2026-04-21,AMAZON UK,208.35,Soft Drinks
1/1/2026,BOOKER,858.33,Utilities
24-2-2026,Scottish Water,1476.42,
2026-02-09,amazon uk,£323.94,Alcohol
20-4-2026,booker ltd,1085.63,Alcohol
1/20/2026,Sky Business,-797,25,Soft Drinks
2026-03-23,Amazon Business,157.83,Utilities
4/24/2026,Bakery Co,£829.43,Utilities
24-3-2026,Amazon Business,-619.84
10/04/2026,diageo,£663.73,
08/02/2026,Brakes,1397.68,Food
17/03/2026,SKY,£600.75,Food
4/16/2026,Cleaning Supplies Co,£1065,61,Supplies
1/29/2026,Brakes,643.10,Soft Drinks
2026-01-04,Sky,286,30
26-1-2026,Diageo,352,74,
4/18/2026,cleaning supplies co,1503.04,Alcohol
28/01/2026,BRAKES CATERING,626.53,Utilities
2/14/2026,AMAZON UK,£1136.88
1/8/2026,LOCAL BUTCHER,1433,76,
3/12/2026,AMAZON UK,695,56
01/03/2026,Local Butcher,123.12,
3/18/2026,CleanCo,255.68,Utilities
1/17/2026,BritishGas,£1063.96,Utilities
19/01/2026,Brakes,1296.34,
09/03/2026,JJ Food Service,376.58,Alcohol
06/02/2026,coca cola,-1324,48,
2026-03-04,local butcher,342.91,Utilities
2026-03-25,CleanCo,145,10,Soft Drinks
14-1-2026,DIAGEO LIMITED,1355.64,
20-1-2026,Brakes,1211,89,Supplies
3/1/2026,Brakes Catering,1016.29,Food
2026-03-11,British Gas,583.95,Utilities
12/02/2026,AMAZON UK,-1161.98,Food
1-2-2026,bakery co,288.77,Food
20/02/2026,SCOTTISH WATER,-1258,50,Alcohol
17-1-2026,BRITISH GAS,-£253.00,Food
04/03/2026,EON Energy,955,85,Food
2/24/2026,Coca Cola,£1330.71,Soft Drinks
18-2-2026,Sky Business,772,78,Food
2026-01-20,brakes,993.73,Soft Drinks
04/02/2026,AMAZON BUSINESS,784.60,Alcohol
05/02/2026,Sky,£1283.40,
12/02/2026,local butcher,£560.33,
1/27/2026,HEINEKEN,1126.89,Supplies
2/16/2026,Local Bakery,£502.16,Utilities
22/04/2026,Heineken UK,823,53,Food
1/26/2026,BRITISH GAS,1382.17,Food
2026-04-16,EON,70.06,Supplies
2026-04-27,E.ON,646.22
29-4-2026,Cleaning Supplies Co,746.76,Supplies
4-4-2026,BT,126.59,Food
2026-01-24,J J FOOD,1032,97,Food
29/03/2026,CleanCo,1304.42
16-3-2026,EON Energy,£977.34,
2026-02-08,BOOKER,854,19,
3/16/2026,Sky Business,213.62,Alcohol
2/8/2026,Bakery Co,-630.51,
11/02/2026,Amazon Business,336,58,Supplies
2/28/2026,Local Bakery,810.94,Utilities
2026-04-13,BT,1440,65,Soft Drinks
10-4-2026,BritishGas,-318.33,Alcohol
2026-04-06,BOOKER WHOLESALE,709,52,Food
2026-02-07,BT PLC,1171.08,Alcohol
2026-03-22,Bakery Co,235.25,Food
13-2-2026,Local Bakery,857.76,Food
29-4-2026,EON Energy,175.71,Food
2026-03-30,Heineken UK Ltd,£592.03
1/19/2026,EON Energy,£164,70,
11-1-2026,Sky,472.62,Supplies
2/1/2026,CleanCo,1255.10,Food
28-2-2026,Diageo,340.25,Alcohol
20/01/2026,BRAKES CATERING,263.37,Soft Drinks
10/04/2026,Booker Ltd,561.15,Alcohol
2/18/2026,BRITISH GAS,533.73
4/5/2026,EON Energy,1179.91
2/20/2026,Booker Wholesale,842.82,Food
2026-03-01,COCA-COLA EUROPACIFIC,£103.72,Supplies
2026-02-09,Heineken UK,1065.69,
9-1-2026,Coca Cola,£127.92,Alcohol
12/03/2026,Local Bakery,834.39,Soft Drinks
2026-02-28,BritishGas,472.45,
1/20/2026,BOOKER,126.24,Supplies
29-3-2026,BRITISH GAS,866.77,Utilities
2026-02-21,Booker Ltd,1456.13,Food
18/01/2026,Heineken UK,608.84,Soft Drinks
2026-02-23,BRAKES UK,258.55,Soft Drinks
20/03/2026,booker wholesale,1250.36
2026-03-02,CLEANCO,£1373.86,Supplies
23-3-2026,cleaning supplies co,£1006.03
23-4-2026,JJ Food Service,£744.77,Food
2026-02-07,Local Butcher,1318.09,
2026-01-21,Heineken UK Ltd,-349.94,Food
4/3/2026,Diageo,922,34,Utilities
2026-03-04,Diageo Ltd,£143,40,
17-4-2026,Scottish Water,1403.88,Utilities
06/02/2026,heineken uk,591.48,Alcohol
2026-02-24,BRITISH GAS,£296.66,Alcohol
16/03/2026,Booker Wholesale,312.99,Supplies
24-4-2026,DIAGEO LTD,889,91,Supplies
05/04/2026,Heineken UK,1167.41,
2026-04-23,Heineken UK Ltd,80.03,Alcohol
08/03/2026,SCOTTISH WATER,422.09,Soft Drinks
2026-04-02,BT,1498.00,Food
25-3-2026,BRITISH GAS,529.33,Soft Drinks
25/03/2026,Heineken UK Ltd,799.12,Supplies
2026-01-15,JJ FOOD SERVICE,£1432.46,
1/30/2026,Coca Cola,349.92,Food
2026-02-05,diageo,757.92,Alcohol
7-2-2026,British Gas,-481.74,Utilities
06/03/2026,Diageo,574,70,Utilities
23-2-2026,The Local Butcher,438.65,
23-3-2026,J J Food,291.02,
24/02/2026,Diageo Ltd,£666.09,Supplies
1/25/2026,HEINEKEN,151.71,
15-3-2026,BT Business,£483.53,Soft Drinks
27/02/2026,Bakery Co,165.28,
3/4/2026,Local Butcher,1009.87,
2026-03-09,Heineken UK Ltd,968.42,
1/7/2026,BritishGas,971.58,Utilities
4/14/2026,Sky,1498.40,Alcohol
6-1-2026,DIAGEO LIMITED,557.34,
9-4-2026,Sky,106.47,Soft Drinks
25-2-2026,Diageo,1453.63,Alcohol
2026-04-08,HEINEKEN,1065.42,
18-3-2026,Diageo,285.22,Soft Drinks
1/7/2026,Sky,980.57,Supplies
3/31/2026,booker ltd,1278.62,
2026-04-07,Booker Wholesale,466.64,Supplies
24/01/2026,Scottish Water,357,99,Utilities
2026-04-12,Scottish Water,1291.97,Alcohol
08/02/2026,J J FOOD,515.51,Utilities
2026-02-05,COCA-COLA EUROPACIFIC,806.43,Food
3/25/2026,Sky Business,975.53,Utilities
8-4-2026,EON Energy,1534.07,
05/02/2026,Local Bakery,1288.56,Alcohol
2026-04-06,Cleaning Supplies Co,666.10,Soft Drinks
2026-01-19,Booker Ltd,615.44,
12/03/2026,Coca Cola,536.49,
21/03/2026,HEINEKEN,-237.98,
27/02/2026,Amazon Business,£727,12,Supplies
9-2-2026,Cleaning Supplies Co,760.20,Supplies
1/13/2026,HEINEKEN,£1417.37,
2026-02-18,booker,536.57,
4/29/2026,Local Bakery,£728.16,Soft Drinks
3/14/2026,DIAGEO LIMITED,653.78,Supplies
2026-03-30,DIAGEO LTD,1176.84,Utilities
05/03/2026,Coca Cola Europacific,£158,41,
2026-02-24,BT,1066.79,Soft Drinks
6-2-2026,Amazon Business,£424.97,Food
5-2-2026,J J Food,£348.15,Food
1/21/2026,Booker Ltd,£197.62,Supplies
4/23/2026,Booker Wholesale,1425.59,Supplies
31-3-2026,LOCAL BUTCHER,£710.05,Alcohol
2026-03-21,Sky Business,1035.54,
1/12/2026,JJ FOOD SERVICE,£878.89,Soft Drinks
1/24/2026,BRITISHGAS,1027.60,Utilities
2/12/2026,Booker Ltd,1161.57,
4-2-2026,Coca Cola,1466.28,
09/02/2026,Bakery Co,500.07,Utilities
2026-04-11,HEINEKEN,1374,73,Utilities
1/9/2026,BT,303.76,Supplies
09/04/2026,HEINEKEN,773.45,Soft Drinks
28-2-2026,AMAZON UK,572.42,Alcohol
2026-01-18,Scottish Water,1523.58,Supplies
4/11/2026,BT,1313,54,
3/21/2026,Local Bakery,£647.23,
5-2-2026,SCOTTISH WATER,1047.51,
12/01/2026,AMAZON UK,1333.04
2026-04-17,BritishGas,473.85,Supplies
2026-04-28,BT,933.18,Supplies
11-3-2026,BRAKES UK,-1119.30,Food
24-3-2026,Sky,1549.58,Food
2026-01-12,Heineken UK Ltd,£1369.89,
20/04/2026,sky,567.92,Supplies
