date,pub,supplier,amount,category
3/25/2026,Queens Head - Aberdeen,BOOKER,1052.73,   
14/02/2026,Royal Oak - Paisley,Booker Wholesale,1187.43,   
2/1/2026,The Plough - Falkirk,BT PLC,518.49,Supplies
2026-01-06,Fox & Hound - Hamilton,DIAGEO,230.45,Alcohol
2026-04-12,Red Lion - Glasgow,Scottish Water,884.53,Supplies
06/04/2026,Red Lion - Glasgow,BOOKER,235.55,
26/04/2026,White Hart - Inverness,Coca Cola,386.72,Soft Drinks
4/12/2026,White Hart - Inverness,Bidfood,1030.15,
4/11/2026,The Ship Inn - Oban,BT PLC,1117.63,Food
2026-01-03,White Hart - Inverness,Booker Wholesale,£157.24,Utilities
1/29/2026,Royal Oak - Paisley,BT PLC,823.23,Utilities
01/04/2026,The Plough - Falkirk,Bidfood,926.85,
2026-02-15,Black Bull - Dundee,British Gas,£852.74,Soft Drinks
2026-01-15,Queens Head - Aberdeen,Brakes Catering,933.62,Alcohol
3/23/2026,The Ship Inn - Oban,DIAGEO,925.88,Utilities
1/27/2026,The Crown - Stirling,DIAGEO,122.14,
27/04/2026,White Hart - Inverness,Diageo Ltd,782.31,
3/11/2026,White Hart - Inverness,JJ Food Service,826.48,   
2026-03-25,Red Lion - Glasgow,Bidfood,987.88,Food
3/14/2026,Kings Arms - Edinburgh,BOOKER,907.26,Food
4/4/2026,Kings Arms - Edinburgh,British Gas,698.41,
2026-03-13,Black Bull - Dundee,British Gas,346.08,   
16/03/2026,Queens Head - Aberdeen,BOOKER,1072.84,Soft Drinks
03/04/2026,The Swan - Ayr,BT PLC,252.81,Soft Drinks
16/04/2026,The Anchor - Perth,Scottish Water,237.79,   
30/03/2026,Black Bull - Dundee,Scottish Water,341.37,   
4/15/2026,White Hart - Inverness,Scottish Water,687.93,Food
1/16/2026,The Ship Inn - Oban,JJ Food Service,818.33,Food
1/27/2026,The Plough - Falkirk,Coca Cola,£484.13,Utilities
2026-01-23,Royal Oak - Paisley,DIAGEO,453.40,
2026-01-12,The Ship Inn - Oban,JJ Food Service,279.05,Alcohol
2026-03-10,Fox & Hound - Hamilton,EON Energy,£876.68,Food
2026-02-26,The Ship Inn - Oban,EON Energy,674.48,Utilities
2026-01-06,The Crown - Stirling,Diageo Ltd,169.86,Food
2/9/2026,Queens Head - Aberdeen,Diageo Ltd,451.05,
2026-01-30,Black Bull - Dundee,Heineken UK,960.60,Soft Drinks
31/03/2026,Queens Head - Aberdeen,EON Energy,£589.01,Alcohol
2026-02-05,Red Lion - Glasgow,Diageo Ltd,208.75,
2/19/2026,The Ship Inn - Oban,JJ Food Service,630.50,Alcohol
18/02/2026,The Ship Inn - Oban,Local Butcher,£90.92,   
1/3/2026,Red Lion - Glasgow,BT PLC,1137.76,
08/02/2026,The Ship Inn - Oban,Heineken UK,245.38,
4/15/2026,Queens Head - Aberdeen,British Gas,406.77,Food
10/03/2026,The Anchor - Perth,BT PLC,441.43,Supplies
12/02/2026,Black Bull - Dundee,Coca Cola,872.04,Soft Drinks
1/25/2026,The Plough - Falkirk,British Gas,£703.47,Alcohol
2026-03-07,Kings Arms - Edinburgh,JJ Food Service,723.98,Food
3/10/2026,Queens Head - Aberdeen,Scottish Water,145.04,Alcohol
4/11/2026,White Hart - Inverness,Bidfood,£1098.12,Food
1/10/2026,Fox & Hound - Hamilton,BOOKER,934.87,Supplies
3/23/2026,Red Lion - Glasgow,Booker Wholesale,713.64,
3/17/2026,The Swan - Ayr,BOOKER,720.87,Alcohol
4/4/2026,The Crown - Stirling,Local Butcher,878.32,Food
17/02/2026,The Swan - Ayr,Brakes Catering,£1155.33,   
03/02/2026,The Anchor - Perth,Booker Wholesale,1044.65,
2/1/2026,The Plough - Falkirk,Brakes Catering,1136.32,   
3/7/2026,Red Lion - Glasgow,Diageo Ltd,920.77,
1/20/2026,The Ship Inn - Oban,Heineken UK,450.14,Utilities
4/23/2026,White Hart - Inverness,DIAGEO,798.56,Alcohol
2026-01-07,The Anchor - Perth,Booker Wholesale,285.96,
26/04/2026,White Hart - Inverness,BOOKER,161.77,
2026-04-07,Kings Arms - Edinburgh,Diageo Ltd,1058.34,
2026-02-02,The Swan - Ayr,EON Energy,£753.45,   
1/31/2026,Fox & Hound - Hamilton,Coca Cola,526.16,
2026-01-09,Fox & Hound - Hamilton,JJ Food Service,613.21,   
3/21/2026,The Swan - Ayr,BOOKER,£547.82,Alcohol
2026-03-29,The Plough - Falkirk,Booker Wholesale,513.60,   
2026-01-24,White Hart - Inverness,Heineken UK,232.06,Alcohol
2026-03-02,Black Bull - Dundee,Amazon Business,166.41,Food
12/03/2026,Fox & Hound - Hamilton,Local Butcher,175.11,Utilities
2/9/2026,The Plough - Falkirk,Scottish Water,£422.74,Utilities
2026-03-21,The Swan - Ayr,DIAGEO,£788.71,
1/28/2026,Queens Head - Aberdeen,Booker Wholesale,1147.24,   
25/01/2026,Kings Arms - Edinburgh,Booker Wholesale,864.40,
14/03/2026,White Hart - Inverness,BOOKER,421.66,Utilities
05/03/2026,Royal Oak - Paisley,BOOKER,408.75,Supplies
2026-02-16,Black Bull - Dundee,Scottish Water,1181.08,Supplies
2026-04-05,Black Bull - Dundee,BT PLC,748.89,   
1/13/2026,The Swan - Ayr,Booker Wholesale,1225.39,Utilities
4/3/2026,The Plough - Falkirk,Brakes Catering,814.29,Utilities
08/03/2026,The Swan - Ayr,BT PLC,£436.56,
2026-03-10,The Anchor - Perth,Scottish Water,726.31,Supplies
2026-01-02,The Crown - Stirling,Brakes Catering,468.92,Food
08/04/2026,Queens Head - Aberdeen,British Gas,427.17,Soft Drinks
2026-04-02,White Hart - Inverness,Booker Wholesale,1058.39,Food
3/22/2026,The Crown - Stirling,Coca Cola,£904.13,Food
3/23/2026,Royal Oak - Paisley,BT PLC,770.31,Utilities
20/02/2026,The Swan - Ayr,Heineken UK,1120.10,Alcohol
3/27/2026,Black Bull - Dundee,British Gas,312.07,   
2/1/2026,The Plough - Falkirk,BT PLC,373.43,   
08/04/2026,White Hart - Inverness,Heineken UK,528.12,Soft Drinks
2026-02-27,Royal Oak - Paisley,JJ Food Service,527.30,Supplies
06/01/2026,The Crown - Stirling,DIAGEO,387.48,   
3/10/2026,The Plough - Falkirk,Scottish Water,309.13,   
2026-01-28,Kings Arms - Edinburgh,JJ Food Service,754.86,
10/02/2026,Queens Head - Aberdeen,DIAGEO,1098.64,Alcohol
2/6/2026,The Ship Inn - Oban,Booker Wholesale,656.86,   
3/10/2026,Black Bull - Dundee,Coca Cola,188.99,Alcohol
2/24/2026,Red Lion - Glasgow,British Gas,£875.55,Utilities
1/6/2026,Kings Arms - Edinburgh,Scottish Water,1118.00,
07/02/2026,Fox & Hound - Hamilton,Bidfood,985.96,Alcohol
09/04/2026,The Crown - Stirling,Brakes Catering,1039.71,
19/04/2026,The Crown - Stirling,EON Energy,359.83,Utilities
03/03/2026,Queens Head - Aberdeen,Amazon Business,£893.26,Supplies
2026-02-05,Fox & Hound - Hamilton,Brakes Catering,£303.85,Supplies
2/4/2026,The Crown - Stirling,Bidfood,937.19,   
12/01/2026,Queens Head - Aberdeen,Local Butcher,1178.41,   
4/15/2026,The Anchor - Perth,Brakes Catering,459.48,Alcohol
2/10/2026,Royal Oak - Paisley,BT PLC,1054.80,
3/26/2026,Fox & Hound - Hamilton,Coca Cola,344.30,Supplies
2026-03-23,Royal Oak - Paisley,Amazon Business,1124.37,Supplies
2026-02-07,The Ship Inn - Oban,Diageo Ltd,£973.52,Soft Drinks
2026-03-23,Fox & Hound - Hamilton,Brakes Catering,61.08,
14/03/2026,Fox & Hound - Hamilton,Bidfood,174.19,
2026-03-31,The Crown - Stirling,Coca Cola,£766.61,Alcohol
4/13/2026,Red Lion - Glasgow,British Gas,574.10,
06/04/2026,White Hart - Inverness,JJ Food Service,678.99,
24/01/2026,Black Bull - Dundee,JJ Food Service,£405.95,   
2/25/2026,Royal Oak - Paisley,Scottish Water,£435.62,Soft Drinks
4/20/2026,The Crown - Stirling,EON Energy,£1198.17,   
1/23/2026,Black Bull - Dundee,Amazon Business,£454.14,Soft Drinks
3/30/2026,Fox & Hound - Hamilton,Heineken UK,945.79,Soft Drinks
3/13/2026,Red Lion - Glasgow,Amazon Business,1076.38,
2026-04-06,The Plough - Falkirk,Local Butcher,276.46,Supplies
06/04/2026,Fox & Hound - Hamilton,Diageo Ltd,329.70,Food
2026-03-09,Kings Arms - Edinburgh,Amazon Business,173.72,Soft Drinks
2026-01-19,The Swan - Ayr,JJ Food Service,1050.48,
1/1/2026,The Swan - Ayr,Diageo Ltd,423.81,   
22/03/2026,The Plough - Falkirk,JJ Food Service,491.10,Utilities
4/24/2026,The Plough - Falkirk,BOOKER,903.28,   
2026-01-06,The Plough - Falkirk,Diageo Ltd,900.78,Food
2026-02-24,Queens Head - Aberdeen,Bidfood,297.36,   
2026-01-08,Kings Arms - Edinburgh,Brakes Catering,1068.33,Utilities
1/15/2026,Red Lion - Glasgow,JJ Food Service,£842.00,
04/01/2026,Fox & Hound - Hamilton,Scottish Water,£352.71,
24/03/2026,The Swan - Ayr,British Gas,1103.77,
01/04/2026,Queens Head - Aberdeen,Heineken UK,696.19,Supplies
2/28/2026,Queens Head - Aberdeen,Scottish Water,1019.89,Alcohol
2026-01-01,The Crown - Stirling,JJ Food Service,1043.28,Supplies
2/22/2026,Queens Head - Aberdeen,Diageo Ltd,1050.14,   
4/17/2026,The Swan - Ayr,Coca Cola,855.00,Soft Drinks
4/8/2026,Royal Oak - Paisley,Diageo Ltd,880.72,Alcohol
1/18/2026,Fox & Hound - Hamilton,BT PLC,£342.56,
4/8/2026,Kings Arms - Edinburgh,DIAGEO,568.45,
2026-02-21,White Hart - Inverness,British Gas,479.43,   
2026-01-21,Fox & Hound - Hamilton,DIAGEO,321.57,   
02/03/2026,White Hart - Inverness,Scottish Water,169.34,Alcohol
07/03/2026,Black Bull - Dundee,British Gas,344.61,
2026-03-12,Red Lion - Glasgow,BOOKER,381.43,Utilities
27/03/2026,The Anchor - Perth,BT PLC,£996.10,Utilities
2026-01-18,Red Lion - Glasgow,Local Butcher,815.04,Alcohol
2026-01-01,Queens Head - Aberdeen,Coca Cola,692.77,Soft Drinks
09/01/2026,The Swan - Ayr,Amazon Business,422.87,
17/04/2026,White Hart - Inverness,DIAGEO,£404.80,Supplies
05/01/2026,The Swan - Ayr,Coca Cola,£1223.89,Food
4/8/2026,Red Lion - Glasgow,Local Butcher,115.67,Soft Drinks
2026-04-05,The Anchor - Perth,Booker Wholesale,651.59,Food
1/3/2026,The Plough - Falkirk,JJ Food Service,855.08,Utilities
2026-02-15,White Hart - Inverness,EON Energy,£500.72,   
01/02/2026,The Anchor - Perth,Booker Wholesale,129.41,
2026-02-17,White Hart - Inverness,Amazon Business,£823.79,Utilities
2026-04-23,The Crown - Stirling,Heineken UK,816.31,
2026-02-10,The Crown - Stirling,Diageo Ltd,998.70,Soft Drinks
23/01/2026,Red Lion - Glasgow,Heineken UK,1216.62,Utilities
2/3/2026,White Hart - Inverness,JJ Food Service,200.89,Alcohol
21/01/2026,White Hart - Inverness,Booker Wholesale,722.96,Utilities
2026-03-21,Royal Oak - Paisley,Heineken UK,537.86,   
2026-01-31,The Ship Inn - Oban,Heineken UK,1208.87,Alcohol
2026-01-12,Kings Arms - Edinburgh,BT PLC,450.76,Food
1/29/2026,The Anchor - Perth,Amazon Business,£743.50,
3/20/2026,Royal Oak - Paisley,Coca Cola,692.50,Utilities
13/01/2026,The Anchor - Perth,Brakes Catering,1054.28,Supplies
2/14/2026,Black Bull - Dundee,Booker Wholesale,1225.61,   
4/30/2026,Queens Head - Aberdeen,Amazon Business,1053.86,   
2/15/2026,The Ship Inn - Oban,Diageo Ltd,253.66,   
25/01/2026,The Ship Inn - Oban,Booker Wholesale,1011.76,
2/20/2026,The Ship Inn - Oban,Amazon Business,56.57,
2026-03-30,The Anchor - Perth,Heineken UK,774.75,
2026-02-03,Kings Arms - Edinburgh,Amazon Business,162.78,
3/20/2026,The Anchor - Perth,EON Energy,79.54,
2026-02-05,White Hart - Inverness,Heineken UK,472.22,
22/04/2026,Kings Arms - Edinburgh,Brakes Catering,1139.53,
27/02/2026,The Anchor - Perth,Diageo Ltd,1098.76,   
1/4/2026,The Swan - Ayr,EON Energy,485.93,Utilities
4/21/2026,Black Bull - Dundee,British Gas,793.93,Soft Drinks
3/22/2026,The Swan - Ayr,Amazon Business,355.35,
06/04/2026,Red Lion - Glasgow,Booker Wholesale,467.31,   
23/01/2026,The Plough - Falkirk,Brakes Catering,1153.24,   
2026-01-29,Royal Oak - Paisley,Coca Cola,1223.62,Utilities
2026-04-14,White Hart - Inverness,DIAGEO,£179.24,Soft Drinks
2/17/2026,The Ship Inn - Oban,Diageo Ltd,974.64,Utilities
4/14/2026,Black Bull - Dundee,Brakes Catering,391.70,
1/5/2026,Black Bull - Dundee,Amazon Business,443.12,   
2/16/2026,The Swan - Ayr,Local Butcher,412.63,
4/20/2026,Black Bull - Dundee,Local Butcher,662.97,
30/01/2026,Fox & Hound - Hamilton,Bidfood,907.16,Food
28/02/2026,Black Bull - Dundee,EON Energy,1111.01,
4/23/2026,The Crown - Stirling,Heineken UK,872.12,Soft Drinks
2/9/2026,The Plough - Falkirk,Booker Wholesale,162.15,Alcohol
04/04/2026,The Anchor - Perth,Scottish Water,£953.93,Utilities
03/01/2026,Fox & Hound - Hamilton,EON Energy,£835.60,Food
02/03/2026,Black Bull - Dundee,Local Butcher,575.82,Supplies
13/03/2026,White Hart - Inverness,Heineken UK,643.29,
2026-03-29,White Hart - Inverness,Brakes Catering,860.86,   
20/02/2026,The Plough - Falkirk,Coca Cola,124.40,
09/01/2026,The Anchor - Perth,BT PLC,393.25,
18/04/2026,The Plough - Falkirk,Bidfood,1083.66,Food
11/03/2026,The Plough - Falkirk,BOOKER,511.16,Alcohol
1/28/2026,Queens Head - Aberdeen,JJ Food Service,£344.79,Utilities
21/01/2026,Fox & Hound - Hamilton,Brakes Catering,563.35,Soft Drinks
23/04/2026,Fox & Hound - Hamilton,BOOKER,£300.37,   
31/03/2026,The Ship Inn - Oban,British Gas,£815.31,Utilities
2026-04-10,The Swan - Ayr,Local Butcher,137.85,Utilities
22/01/2026,Queens Head - Aberdeen,JJ Food Service,343.48,   
03/02/2026,Queens Head - Aberdeen,EON Energy,240.35,
2026-02-07,Royal Oak - Paisley,BT PLC,1031.71,Supplies
06/03/2026,Fox & Hound - Hamilton,Scottish Water,245.72,Utilities
2026-04-08,Black Bull - Dundee,Local Butcher,1134.74,Food
2026-04-28,Red Lion - Glasgow,Coca Cola,520.20,   
19/02/2026,The Ship Inn - Oban,BT PLC,£1240.84,
24/01/2026,Black Bull - Dundee,BT PLC,£379.15,Supplies
2/18/2026,The Swan - Ayr,Bidfood,1132.68,
4/30/2026,Fox & Hound - Hamilton,DIAGEO,635.87,Alcohol
4/4/2026,Kings Arms - Edinburgh,JJ Food Service,£212.42,Supplies
22/03/2026,Royal Oak - Paisley,EON Energy,456.47,Food
15/02/2026,The Swan - Ayr,Scottish Water,481.75,Soft Drinks
2/5/2026,Fox & Hound - Hamilton,Amazon Business,602.25,Soft Drinks
27/02/2026,Royal Oak - Paisley,Diageo Ltd,1146.18,Soft Drinks
4/11/2026,Black Bull - Dundee,BT PLC,734.14,   
1/26/2026,Black Bull - Dundee,Diageo Ltd,733.49,Alcohol
28/02/2026,Royal Oak - Paisley,EON Energy,336.56,Soft Drinks
28/04/2026,Queens Head - Aberdeen,Local Butcher,£505.51,Alcohol
3/18/2026,Black Bull - Dundee,Diageo Ltd,£96.75,   
4/5/2026,The Plough - Falkirk,Amazon Business,£447.66,Supplies
4/16/2026,The Anchor - Perth,Local Butcher,724.25,Utilities
30/03/2026,The Plough - Falkirk,Brakes Catering,980.15,   
2026-02-05,Fox & Hound - Hamilton,Amazon Business,524.04,Food
16/02/2026,The Plough - Falkirk,Heineken UK,602.57,Food
2026-03-11,The Ship Inn - Oban,Amazon Business,£206.11,Soft Drinks
2026-03-29,Fox & Hound - Hamilton,Coca Cola,373.78,
2026-04-08,Queens Head - Aberdeen,DIAGEO,789.31,Alcohol
2/16/2026,Red Lion - Glasgow,Bidfood,1154.06,Supplies
28/01/2026,The Plough - Falkirk,Diageo Ltd,599.29,
4/11/2026,Kings Arms - Edinburgh,EON Energy,760.83,Soft Drinks
13/02/2026,Fox & Hound - Hamilton,Local Butcher,335.79,   
2/20/2026,The Ship Inn - Oban,BT PLC,£518.65,Alcohol
1/20/2026,Kings Arms - Edinburgh,EON Energy,792.00,Alcohol
16/02/2026,Queens Head - Aberdeen,Bidfood,1066.20,
2026-04-18,Fox & Hound - Hamilton,Bidfood,£335.60,
2026-03-09,White Hart - Inverness,Heineken UK,120.06,Soft Drinks
1/2/2026,Queens Head - Aberdeen,Diageo Ltd,64.69,
1/16/2026,Fox & Hound - Hamilton,Amazon Business,529.56,Utilities
2/1/2026,Royal Oak - Paisley,Brakes Catering,1179.92,Food
2/23/2026,Royal Oak - Paisley,Diageo Ltd,£625.73,Food
10/03/2026,Red Lion - Glasgow,Diageo Ltd,1016.54,Soft Drinks
18/01/2026,Fox & Hound - Hamilton,Local Butcher,501.37,
4/3/2026,The Ship Inn - Oban,Local Butcher,£934.46,Soft Drinks
24/01/2026,White Hart - Inverness,JJ Food Service,£52.62,   
10/04/2026,Fox & Hound - Hamilton,Coca Cola,595.37,Soft Drinks
2026-04-29,Fox & Hound - Hamilton,DIAGEO,570.23,Soft Drinks
13/04/2026,Red Lion - Glasgow,Heineken UK,816.45,Supplies
1/20/2026,The Swan - Ayr,Scottish Water,476.70,Supplies
2026-04-09,The Crown - Stirling,Bidfood,£923.89,Food
03/04/2026,The Ship Inn - Oban,Scottish Water,784.61,
14/02/2026,Black Bull - Dundee,Local Butcher,£1169.96,Supplies
2/22/2026,Fox & Hound - Hamilton,DIAGEO,£416.86,Supplies
1/25/2026,Fox & Hound - Hamilton,Local Butcher,£629.79,Alcohol
3/6/2026,Black Bull - Dundee,Bidfood,£1035.88,Alcohol
4/1/2026,Queens Head - Aberdeen,British Gas,1024.31,Utilities
