DATE,SUPPLIER,AMOUNT,
18-1-2026,Sky,991.86,Soft Drinks
11/01/2026,DIAGEO LIMITED,1544.19,
17-3-2026,E.ON,803.50,Food
3/30/2026,EON,905.62,
1/20/2026,Amazon Business,-1405.89,Food
24-4-2026,bakery co,1453.40,
2/4/2026,BRITISH GAS,£649.56,Food
2026-01-27,Diageo Ltd,1523.60,
2026-02-12,Diageo Ltd,409.71,Soft Drinks
18/02/2026,JJ Food Service,187.30,Alcohol
18/02/2026,E.ON,1417.13,
2026-02-06,Sky,1083.20,Supplies
3/7/2026,Brakes,1067.15,
2026-04-13,local butcher,1436.93,Alcohol
9-2-2026,Heineken UK Ltd,374.39,Supplies
2026-03-10,Coca Cola Europacific,1026.21,
8-3-2026,BT,333.34,Soft Drinks
2026-04-26,booker wholesale,105.31,Alcohol
2026-04-20,Heineken UK Ltd,493.27,Supplies
4/24/2026,COCA-COLA EUROPACIFIC,245.77
29-4-2026,bt business,1231.26,
2/12/2026,E.ON,£684.63,Food
2026-03-09,E.ON,1446.11,Supplies
28/04/2026,Bakery Co,£428.32,Soft Drinks
2/20/2026,Heineken UK,1136.08,Supplies
3-2-2026,BT PLC,539,75,Soft Drinks
2026-01-05,Booker Ltd,1040.48,
2026-04-04,The Local Butcher,841.06,Food
2026-03-13,BT PLC,597.01,
06/02/2026,coca cola europacific,862.54,Food
28/01/2026,BRITISH GAS,57.29,
16-1-2026,British Gas,767.03,
23/02/2026,Coca Cola,1456,37,Food
2026-01-13,booker ltd,405.23,Supplies
22/01/2026,British Gas,£804,49,Supplies
2026-03-29,Heineken UK Ltd,254.80,Alcohol
4/24/2026,COCA COLA,715.76,Alcohol
2026-01-26,Diageo,817.77,Alcohol
26-1-2026,BT Business,£567.04,Food
2026-03-10,E.ON,1001.00,Utilities
3/8/2026,Amazon,-1299.70,Soft Drinks
3/10/2026,Bakery Co,65.17
4/4/2026,BOOKER,467.68,Supplies
13/03/2026,BT PLC,499.05,
23-2-2026,BT,1223.49,Food
2026-03-20,Booker Ltd,960.05,Food
28-4-2026,Booker Ltd,£541.01,Utilities
17-2-2026,Sky Business,185.00,Supplies
22-1-2026,The Local Butcher,762.12,
20-3-2026,Booker Wholesale,151.25,
1/27/2026,BT PLC,653.05,Alcohol
2/2/2026,DIAGEO LIMITED,724.68,
4/9/2026,BritishGas,1531.19,
3/5/2026,COCA-COLA EUROPACIFIC,288.78,Food
21-4-2026,Cleaning Supplies Co,536.97,Supplies
14/02/2026,amazon business,1221.31,Soft Drinks
2026-03-15,DIAGEO,901.89,Food
24/01/2026,BRAKES UK,596.39,Soft Drinks
2/2/2026,scottish water,1314.34,
2-3-2026,Amazon,715.22,Food
10/02/2026,Amazon,901.34,
15-2-2026,Diageo,910.70,
2026-01-04,BritishGas,879.57,
4/3/2026,The Local Butcher,1336.10,Food
2026-02-11,BT Business,884.01
30-4-2026,Local Butcher,326.73,Soft Drinks
2026-03-01,JJ FOOD SERVICE,1472.86,Supplies
2026-02-03,Brakes Catering,1442,10,Food
06/02/2026,CLEANCO,676.64,
2026-04-11,The Local Butcher,336.60,Soft Drinks
2026-02-01,BRAKES UK,803.09,Supplies
4/14/2026,E.ON,411.16,Food
2/20/2026,bakery co,£673.19,Food
26/01/2026,britishgas,892.74,Utilities
25/03/2026,Booker Wholesale,925.15,Soft Drinks
3/22/2026,Coca Cola Europacific,408.41,Supplies
17/03/2026,Scottish Water,802.60,
1/6/2026,Local Bakery,1409.87,Food
2026-03-25,booker ltd,319.50,Utilities
2026-04-23,British Gas,1037.51,Food
1/7/2026,JJ Food Service,1404.27
22-4-2026,EON Energy,388.89,Alcohol
2026-03-16,BritishGas,1462.48,Utilities
2026-02-27,EON,453.84,Food
2026-04-01,bt,£227.08,
2026-01-05,EON,785.71,Food
21/02/2026,Booker Ltd,1000.98,
4/10/2026,jj food service,£721,58,
16/04/2026,J J Food,573.64,
2026-03-14,EON Energy,-£1353.22,
2026-04-21,BT PLC,-236.31,
03/03/2026,BRAKES UK,1516,82,Food
3/27/2026,coca cola,826.27,Alcohol
2026-01-26,Amazon Business,353.26,
3/4/2026,BT PLC,1288,35,
10/01/2026,EON,612.84,
17-4-2026,cleaning supplies co,983.03,Food
2026-02-26,AMAZON UK,964.75,Utilities
3/25/2026,Coca Cola,1122.28,
02/03/2026,CleanCo,580.62,
2026-04-24,BT Business,195.30,
