date,pub,supplier,amount,category
2026-01-31,The Market Tavern - Paisley,Monthly Spend Summary,14950.00,Total Spend
2026-02-28,The Market Tavern - Paisley,Monthly Spend Summary,15360.00,Total Spend
2026-03-31,The Market Tavern - Paisley,Monthly Spend Summary,15980.00,Total Spend
2026-04-30,The Market Tavern - Paisley,Monthly Spend Summary,17120.00,Total Spend
2026-05-31,The Market Tavern - Paisley,Monthly Spend Summary,18240.00,Total Spend
2026-06-30,The Market Tavern - Paisley,Monthly Spend Summary,19510.00,Total Spend
2026-01-31,The Green Griffin - Falkirk,Monthly Spend Summary,16380.00,Total Spend
2026-02-28,The Green Griffin - Falkirk,Monthly Spend Summary,16620.00,Total Spend
2026-03-31,The Green Griffin - Falkirk,Monthly Spend Summary,17440.00,Total Spend
2026-04-30,The Green Griffin - Falkirk,Monthly Spend Summary,18110.00,Total Spend
2026-05-31,The Green Griffin - Falkirk,Monthly Spend Summary,18890.00,Total Spend
2026-06-30,The Green Griffin - Falkirk,Monthly Spend Summary,19740.00,Total Spend
2026-01-31,The Castle Arms - Ayr,Monthly Spend Summary,13420.00,Total Spend
2026-02-28,The Castle Arms - Ayr,Monthly Spend Summary,13780.00,Total Spend
2026-03-31,The Castle Arms - Ayr,Monthly Spend Summary,14150.00,Total Spend
2026-04-30,The Castle Arms - Ayr,Monthly Spend Summary,14690.00,Total Spend
2026-05-31,The Castle Arms - Ayr,Monthly Spend Summary,15240.00,Total Spend
2026-06-30,The Castle Arms - Ayr,Monthly Spend Summary,15860.00,Total Spend
2026-01-31,The Riverside Inn - Dumfries,Monthly Spend Summary,12160.00,Total Spend
2026-02-28,The Riverside Inn - Dumfries,Monthly Spend Summary,12490.00,Total Spend
2026-03-31,The Riverside Inn - Dumfries,Monthly Spend Summary,13270.00,Total Spend
2026-04-30,The Riverside Inn - Dumfries,Monthly Spend Summary,13890.00,Total Spend
2026-05-31,The Riverside Inn - Dumfries,Monthly Spend Summary,14680.00,Total Spend
2026-06-30,The Riverside Inn - Dumfries,Monthly Spend Summary,15430.00,Total Spend
2026-01-31,The Thistle & Hound - Oban,Monthly Spend Summary,10980.00,Total Spend
2026-02-28,The Thistle & Hound - Oban,Monthly Spend Summary,11420.00,Total Spend
2026-03-31,The Thistle & Hound - Oban,Monthly Spend Summary,11970.00,Total Spend
2026-04-30,The Thistle & Hound - Oban,Monthly Spend Summary,12740.00,Total Spend
2026-05-31,The Thistle & Hound - Oban,Monthly Spend Summary,13310.00,Total Spend
2026-06-30,The Thistle & Hound - Oban,Monthly Spend Summary,14190.00,Total Spend
